index,id,label,type,type_label,uri,birthYear,dateLabel,deathYear,externalURL,gregorianDate,hanjaName,headnote,lifeSpan,locationLabel,reignMonarch,reignYear,reignYearLabel,sexagenaryYear
68,doc_16630710c,문건16630710c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630710c,,"1663년(현종4, 癸卯) 7월10일",,,1663-07-10,,,,,현종,4,현종4년 (1663년),癸卯
69,doc_16630711,문건16630711,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630711,,"1663년(현종4, 癸卯) 7월11일",,,1663-07-11,,,,,현종,4,현종4년 (1663년),癸卯
70,doc_16630810,문건16630810,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630810,,"1663년(현종4, 癸卯) 8월10일",,,1663-08-10,,,,,현종,4,현종4년 (1663년),癸卯
71,doc_16630930,문건16630930,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16630930,,"1663년(현종4, 癸卯) 9월30일",,,1663-09-30,,,,,현종,4,현종4년 (1663년),癸卯
72,doc_16631004,문건16631004,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16631004,,"1663년(현종4, 癸卯) 10월4일",,,1663-10-04,,,,,현종,4,현종4년 (1663년),癸卯
73,doc_16631005,문건16631005,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16631005,,"1663년(현종4, 癸卯) 10월5일",,,1663-10-05,,,,,현종,4,현종4년 (1663년),癸卯
74,doc_16640307,문건16640307,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16640307,,"1664년(현종5, 甲辰) 3월7일",,,1664-03-07,,,,,현종,5,현종5년 (1664년),甲辰
75,doc_16641219,문건16641219,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16641219,,"1664년(현종5, 甲辰) 12월19일",,,1664-12-19,,,,,현종,5,현종5년 (1664년),甲辰
76,doc_16650515a,문건16650515a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16650515a,,"1665년(현종6, 乙巳) 5월15일",,,1665-05-15,,,,,현종,6,현종6년 (1665년),乙巳
77,doc_16650515b,문건16650515b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16650515b,,"1665년(현종6, 乙巳) 5월15일",,,1665-05-15,,,,,현종,6,현종6년 (1665년),乙巳
78,doc_16650604,문건16650604,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16650604,,"1665년(현종6, 乙巳) 6월4일",,,1665-06-04,,,,,현종,6,현종6년 (1665년),乙巳
79,doc_16651211,문건16651211,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16651211,,"1665년(현종6, 乙巳) 12월11일",,,1665-12-11,,,,,현종,6,현종6년 (1665년),乙巳
80,doc_16660424,문건16660424,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660424,,"1666년(현종7, 丙午) 4월24일",,,1666-04-24,,,,,현종,7,현종7년  (1666년),丙午
81,doc_16660612a,문건16660612a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660612a,,"1666년(현종7, 丙午) 6월12일",,,1666-06-12,,,,,현종,7,현종7년  (1666년),丙午
82,doc_16660612b,문건16660612b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660612b,,"1666년(현종7, 丙午) 6월12일",,,1666-06-12,,,,,현종,7,현종7년  (1666년),丙午
83,doc_16660827,문건16660827,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660827,,"1666년(현종7, 丙午) 8월27일",,,1666-08-27,,,,,현종,7,현종7년  (1666년),丙午
84,doc_16660902,문건16660902,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660902,,"1666년(현종7, 丙午) 9월2일",,,1666-09-02,,,,,현종,7,현종7년  (1666년),丙午
85,doc_16660911,문건16660911,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660911,,"1666년(현종7, 丙午) 9월11일",,,1666-09-11,,,,,현종,7,현종7년  (1666년),丙午
86,doc_16660920,문건16660920,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16660920,,"1666년(현종7, 丙午) 9월20일",,,1666-09-20,,,,,현종,7,현종7년  (1666년),丙午
87,doc_16661028a,문건16661028a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16661028a,,"1666년(현종7, 丙午) 10월28일",,,1666-10-28,,,,,현종,7,현종7년  (1666년),丙午
88,doc_16661028b,문건16661028b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16661028b,,"1666년(현종7, 丙午) 10월28일",,,1666-10-28,,,,,현종,7,현종7년  (1666년),丙午
89,doc_16661028c,문건16661028c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16661028c,,"1666년(현종7, 丙午) 10월28일",,,1666-10-28,,,,,현종,7,현종7년  (1666년),丙午
90,doc_16661028d,문건16661028d,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16661028d,,"1666년(현종7, 丙午) 10월28일",,,1666-10-28,,,,,현종,7,현종7년  (1666년),丙午
91,doc_16670408a,문건16670408a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16670408a,,"1667년(현종8, 丁未) 4월8일",,,1667-04-08,,,,,현종,8,현종8년  (1667년),丁未
92,doc_16670408b,문건16670408b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16670408b,,"1667년(현종8, 丁未) 4월8일",,,1667-04-08,,,,,현종,8,현종8년  (1667년),丁未
93,doc_16670812,문건16670812,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16670812,,"1667년(현종8, 丁未) 8월12일",,,1667-08-12,,,,,현종,8,현종8년  (1667년),丁未
94,doc_16670828,문건16670828,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16670828,,"1667년(현종8, 丁未) 8월28일",,,1667-08-28,,,,,현종,8,현종8년  (1667년),丁未
95,doc_1667L0404,문건1667L0404,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_1667L0404,,"1667년(현종8, 丁未) 윤4월4일",,,1667-04-04,,,,,현종,8,현종8년  (1667년),丁未
96,doc_16680318,문건16680318,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16680318,,"1668년(현종9, 戊申) 3월18일",,,1668-03-18,,,,,현종,9,현종9년  (1668년),戊申
97,doc_16680424,문건16680424,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16680424,,"1668년(현종9, 戊申) 4월24일",,,1668-04-24,,,,,현종,9,현종9년  (1668년),戊申
98,doc_16680612,문건16680612,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16680612,,"1668년(현종9, 戊申) 6월12일",,,1668-06-12,,,,,현종,9,현종9년  (1668년),戊申
99,doc_16680903,문건16680903,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16680903,,"1668년(현종9, 戊申) 9월3일",,,1668-09-03,,,,,현종,9,현종9년  (1668년),戊申
100,doc_16681107a,문건16681107a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681107a,,"1668년(현종9, 戊申) 11월7일",,,1668-11-07,,,,,현종,9,현종9년  (1668년),戊申
101,doc_16681107b,문건16681107b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681107b,,"1668년(현종9, 戊申) 11월7일",,,1668-11-07,,,,,현종,9,현종9년  (1668년),戊申
102,doc_16681107c,문건16681107c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681107c,,"1668년(현종9, 戊申) 11월7일",,,1668-11-07,,,,,현종,9,현종9년  (1668년),戊申
103,doc_16681107d,문건16681107d,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681107d,,"1668년(현종9, 戊申) 11월7일",,,1668-11-07,,,,,현종,9,현종9년  (1668년),戊申
104,doc_16681107e,문건16681107e,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681107e,,"1668년(현종9, 戊申) 11월7일",,,1668-11-07,,,,,현종,9,현종9년  (1668년),戊申
105,doc_16681127,문건16681127,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681127,,"1668년(현종9, 戊申) 11월27일",,,1668-11-27,,,,,현종,9,현종9년  (1668년),戊申
106,doc_16681211,문건16681211,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16681211,,"1668년(현종9, 戊申)  12월11일",,,1668-12-11,,,,,현종,9,현종9년  (1668년),戊申
107,doc_16690109,문건16690109,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690109,,"1669년(현종10, 己酉) 1월9일",,,1669-01-09,,,,,현종,10,현종10년  (1669년),己酉
108,doc_16690206,문건16690206,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690206,,"1669년(현종10, 己酉) 2월6일",,,1669-02-06,,,,,현종,10,현종10년  (1669년),己酉
109,doc_16690223a,문건16690223a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690223a,,"1669년(현종10, 己酉) 2월23일",,,1669-02-23,,,,,현종,10,현종10년  (1669년),己酉
110,doc_16690223b,문건16690223b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690223b,,"1669년(현종10, 己酉) 2월23일",,,1669-02-23,,,,,현종,10,현종10년  (1669년),己酉
111,doc_16690307a,문건16690307a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690307a,,"1669년(현종10, 己酉) 3월7일",,,1669-03-07,,,,,현종,10,현종10년  (1669년),己酉
112,doc_16690307b,문건16690307b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690307b,,"1669년(현종10, 己酉) 3월7일",,,1669-03-07,,,,,현종,10,현종10년  (1669년),己酉
113,doc_16690314a,문건16690314a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690314a,,"1669년(현종10, 己酉) 3월14일",,,1669-03-14,,,,,현종,10,현종10년  (1669년),己酉
114,doc_16690314b,문건16690314b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690314b,,"1669년(현종10, 己酉) 3월14일",,,1669-03-14,,,,,현종,10,현종10년  (1669년),己酉
115,doc_16690411a,문건16690411a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690411a,,"1669년(현종10, 己酉) 4월11일",,,1669-04-11,,,,,현종,10,현종10년  (1669년),己酉
116,doc_16690411b,문건16690411b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690411b,,"1669년(현종10, 己酉) 4월11일",,,1669-04-11,,,,,현종,10,현종10년  (1669년),己酉
117,doc_16690412,문건16690412,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690412,,"1669년(현종10, 己酉) 4월12일",,,1669-04-12,,,,,현종,10,현종10년  (1669년),己酉
118,doc_16690513,문건16690513,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690513,,"1669년(현종10, 己酉) 5월13일",,,1669-05-13,,,,,현종,10,현종10년  (1669년),己酉
119,doc_16690918,문건16690918,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16690918,,"1669년(현종10, 己酉) 9월18일",,,1669-09-18,,,,,현종,10,현종10년  (1669년),己酉
120,doc_16691012,문건16691012,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16691012,,"1669년(현종10, 己酉) 10월12일",,,1669-10-12,,,,,현종,10,현종10년  (1669년),己酉
121,doc_16691022,문건16691022,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16691022,,"1669년(현종10, 己酉) 10월22일",,,1669-10-22,,,,,현종,10,현종10년  (1669년),己酉
