index,source,target,relation,relation_label,source_label,target_label,source_type,target_type,relation_uri
111,FD28_Pet1,FoundationPetition,actType,행위유형,청건28_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
112,FD29_Pet1,FoundationPetition,actType,행위유형,청건29_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
113,FD2_Pet1,FoundationPetition,actType,행위유형,청건2_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
114,FD30_Pet1,FoundationPetition,actType,행위유형,청건30_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
115,FD30_Pet1_Review1,FoundationPetition,actType,행위유형,청건30_청원1(심사1),청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
116,FD31_Pet1,FoundationPetition,actType,행위유형,청건31_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
117,FD32_Pet1,FoundationPetition,actType,행위유형,청건32_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
118,FD33_Pet1,FoundationPetition,actType,행위유형,청건33_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
119,FD34_Pet1,FoundationPetition,actType,행위유형,청건34_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
120,FD35_Pet1,FoundationPetition,actType,행위유형,청건35_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
121,FD36_Pet1,FoundationPetition,actType,행위유형,청건36_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
122,FD37_Pet1,FoundationPetition,actType,행위유형,청건37_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
123,FD38_Pet1,FoundationPetition,actType,행위유형,청건38_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
124,FD39_Pet1,FoundationPetition,actType,행위유형,청건39_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
125,FD3_Pet1,FoundationPetition,actType,행위유형,청건3_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
126,FD40_Pet1,FoundationPetition,actType,행위유형,청건40_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
127,FD41_Pet1,FoundationPetition,actType,행위유형,청건41_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
128,FD42_Pet1,FoundationPetition,actType,행위유형,청건42_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
129,FD42_Pet1_Review1,FoundationPetition,actType,행위유형,청건42_청원1(심사1),청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
130,FD42_Pet1_Review2,FoundationPetition,actType,행위유형,청건42_청원1(심사2),청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
131,FD4_Pet1,FoundationPetition,actType,행위유형,청건4_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
132,FD5_Pet1,FoundationPetition,actType,행위유형,청건5_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
133,FD5_Pet2,FoundationPetition,actType,행위유형,청건5_청원2,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
134,FD5_Pet2_Review1,FoundationPetition,actType,행위유형,청건5_청원2(심사1),청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
135,FD6_Pet1,FoundationPetition,actType,행위유형,청건6_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
136,FD7_Pet1,FoundationPetition,actType,행위유형,청건7_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
137,FD7_Pet2,FoundationPetition,actType,행위유형,청건7_청원2,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
138,FD8_Pet1,FoundationPetition,actType,행위유형,청건8_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
139,FD9_Pet1,FoundationPetition,actType,행위유형,청건9_청원1,청건청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
140,PL10_Exec1,PolicyExecution,actType,행위유형,정책10_서원건립시물자인력청구금지1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
141,PL10_Exec2,PolicyExecution,actType,행위유형,정책10_서원건립시물자인력청구금지2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
142,PL10_Exec3,PolicyExecution,actType,행위유형,정책10_서원건립시물자인력청구금지3,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
143,PL11_Exec1,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
144,PL11_Exec2,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
145,PL11_Exec3,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄3,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
146,PL11_Exec4,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄4,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
147,PL11_Exec5,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄5,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
148,PL11_Exec6,PolicyExecution,actType,행위유형,정책11_허가후서원건립및첩설금지위반시치죄6,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
149,PL12_Exec1,PolicyExecution,actType,행위유형,정책12_첩설서원상소방계1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
150,PL12_Exec2,PolicyExecution,actType,행위유형,정책12_첩설서원상소방계2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
151,PL13_Exec1,PolicyExecution,actType,행위유형,정책13_대명현이라도첩설일체금지1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
152,PL13_Exec2,PolicyExecution,actType,행위유형,정책13_대명현이라도첩설일체금지2,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
153,PL13_Exec3,PolicyExecution,actType,행위유형,정책13_대명현이라도첩설일체금지3,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
154,PL14_Exec1,PolicyExecution,actType,행위유형,정책14_계사년이후첩설서원훼철1,정책시행,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
